Biker_Age,Biker_Occupation,Biker_Education_Level,Riding_Experience,Daily_Travel_Distance,Talk_While_Riding,Smoke_While_Riding,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
20.0,Student,Above high school,1.0,2.0,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,2.0,50.0,82.0,3.0,0.0,Moderate Accident
25.0,Student,Above high school,3.0,49.0,Never,Never,No,Inherited,No,New,Village Road,Wet,Rainy,Evening,2.0,50.0,56.0,2.0,0.0,Moderate Accident
20.0,Student,Above high school,3.0,20.0,Regularly,Sometimes,Yes,Inherited,Yes,Old,Village Road,Dry,Clear,Morning,6.0,50.0,109.0,2.0,0.0,Moderate Accident
28.0,Student,Above high school,1.0,10.0,Regularly,Never,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Afternoon,3.0,50.0,103.0,2.0,0.0,Moderate Accident
25.0,Student,Above high school,1.0,12.0,Never,Sometimes,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Night,7.0,50.0,112.0,2.0,0.0,Moderate Accident
30.0,Student,Above high school,3.0,18.0,Never,Never,Yes,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,2.0,50.0,113.0,2.0,0.0,Moderate Accident
30.0,Student,Above high school,5.0,7.0,Regularly,Sometimes,No,Bought with own money,No,New,Village Road,Dry,Foggy,Noon,5.0,50.0,98.0,1.0,0.0,Moderate Accident
20.0,Student,Above high school,4.0,22.0,Never,Never,No,Inherited,Yes,Old,Village Road,Wet,Rainy,Afternoon,1.0,50.0,115.0,2.0,0.0,Moderate Accident
22.0,Student,Above high school,2.0,38.0,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Morning,2.0,50.0,79.0,2.0,0.0,Moderate Accident
25.0,Student,Above high school,1.0,40.0,Regularly,Never,No,Inherited,Yes,New,Village Road,Dry,Foggy,Afternoon,7.0,50.0,64.0,3.0,0.0,Moderate Accident
27.0,Student,Above high school,4.0,43.0,Never,Sometimes,Yes,Inherited,No,Old,Village Road,Wet,Rainy,Night,7.0,50.0,111.0,3.0,0.0,Moderate Accident
25.0,Student,Above high school,3.0,12.0,Never,Never,No,Bought with own money,No,New,Village Road,Dry,Clear,Afternoon,8.0,50.0,109.0,3.0,0.0,Moderate Accident
22.0,Student,Above high school,4.0,21.0,Regularly,Sometimes,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Noon,8.0,50.0,59.0,3.0,0.0,Moderate Accident
23.0,Student,Above high school,5.0,13.0,Never,Never,Yes,Bought with own money,No,Old,Village Road,Wet,Rainy,Afternoon,6.0,50.0,100.0,1.0,0.0,Moderate Accident
23.0,Student,Above high school,4.0,21.0,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Clear,Evening,5.0,50.0,115.0,2.0,0.0,Moderate Accident
18.0,Student,Above high school,4.0,20.0,Regularly,Never,No,Inherited,No,Old,Village Road,Dry,Foggy,Morning,7.0,50.0,80.0,2.0,0.0,Moderate Accident
22.0,Student,Above high school,3.0,20.0,Never,Sometimes,No,Bought with own money,No,New,Village Road,Wet,Rainy,Afternoon,1.0,50.0,88.0,2.0,0.0,Moderate Accident
15.0,Student,Above high school,5.0,26.0,Never,Never,No,Inherited,Yes,Old,Village Road,Dry,Clear,Night,4.0,50.0,109.0,1.0,1.0,Moderate Accident
27.0,Student,Above high school,2.0,42.0,Regularly,Sometimes,Yes,Inherited,No,Old,Village Road,Dry,Foggy,Afternoon,5.0,50.0,63.0,2.0,0.0,Moderate Accident
21.0,Student,Above high school,1.0,1.0,Never,Never,No,Bought with own money,Yes,New,Village Road,Wet,Rainy,Noon,7.0,50.0,106.0,2.0,0.0,Moderate Accident
16.0,Student,Above high school,4.0,25.0,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Clear,Afternoon,7.0,50.0,99.0,2.0,0.0,Moderate Accident
27.0,Student,Above high school,2.0,41.0,Regularly,Never,Yes,Bought with own money,No,New,Village Road,Dry,Foggy,Morning,1.0,50.0,74.0,3.0,0.0,Moderate Accident
19.0,Student,Above high school,4.0,18.0,Never,Sometimes,No,Bought with own money,Yes,Old,Village Road,Wet,Rainy,Afternoon,5.0,50.0,63.0,3.0,0.0,Moderate Accident
23.0,Student,Above high school,5.0,23.0,Never,Never,No,Inherited,No,Old,Village Road,Dry,Clear,Night,6.0,50.0,85.0,1.0,0.0,Moderate Accident
18.0,Student,Above high school,5.0,40.0,Regularly,Sometimes,No,Bought with own money,Yes,New,Village Road,Dry,Foggy,Afternoon,4.0,50.0,97.0,3.0,0.0,Moderate Accident
21.0,Student,Above high school,4.0,7.0,Never,Never,No,Inherited,No,Old,Village Road,Wet,Rainy,Noon,6.0,50.0,86.0,1.0,0.0,Moderate Accident
15.0,Student,Above high school,5.0,6.0,Regularly,Sometimes,Yes,Inherited,No,New,Village Road,Dry,Clear,Afternoon,5.0,50.0,77.0,1.0,0.0,Moderate Accident
16.0,Student,Above high school,2.0,46.0,Regularly,Never,No,Bought with own money,Yes,Old,Village Road,Dry,Foggy,Evening,1.0,50.0,80.0,1.0,0.0,Moderate Accident
17.0,Student,Above high school,3.0,33.0,Never,Sometimes,No,Bought with own money,No,Old,Village Road,Wet,Rainy,Morning,1.0,50.0,95.0,3.0,0.0,Moderate Accident
20.0,Student,Above high school,1.0,0.0,Never,Never,Yes,Bought with own money,Yes,New,Village Road,Dry,Clear,Afternoon,3.0,50.0,60.0,1.0,0.0,Moderate Accident
22.0,Student,Above high school,1.0,19.0,Regularly,Sometimes,No,Bought with own money,No,Old,Village Road,Dry,Foggy,Night,7.0,50.0,55.0,2.0,0.0,Moderate Accident
